Operacion,Entrada,Salida_Fecha,Motivo,PnL_Total,Balance,Drawdown_Act,MFE_Pips,MAE_Pips,Parcial_Hit
Sell,2025-11-28 15:35:00,2025-11-28 16:00:00,Stop_Loss,-78.85,10950.58,5.91,1.0,10.4,False
Sell,2025-12-01 14:00:00,2025-12-01 14:45:00,Stop_Loss,-78.11,10866.54,6.63,2.2,14.1,False
Sell,2025-12-01 14:50:00,2025-12-03 12:20:00,BE_Matematico,-0.94,10861.77,6.67,45.6,17.7,True
Sell,2025-12-03 14:00:00,2025-12-04 10:25:00,BE_Matematico,-1.48,10854.25,6.73,13.8,10.6,True
Buy,2025-12-04 12:05:00,2025-12-04 12:50:00,Stop_Loss,-77.78,10769.12,7.47,0.6,9.6,False
Buy,2025-12-11 07:55:00,2025-12-11 13:25:00,Take_Profit,216.42,10975.59,5.69,32.0,3.4,True
Sell,2025-12-11 15:00:00,2025-12-11 15:30:00,Stop_Loss,-78.78,10888.82,6.44,3.1,9.3,False
Sell,2025-12-15 15:30:00,2025-12-16 14:20:00,BE_Matematico,-1.64,10880.45,6.51,15.1,9.4,True
Buy,2025-12-17 07:40:00,2025-12-17 08:50:00,Stop_Loss,-77.86,10795.65,7.24,2.7,11.3,False
Sell,2025-12-17 11:00:00,2025-12-17 15:15:00,Stop_Loss,-76.68,10714.43,7.94,9.7,15.2,False
Sell,2025-12-19 07:55:00,2025-12-19 16:00:00,BE_Matematico,-3.1,10698.61,8.07,17.0,10.6,True
Sell,2025-12-22 14:00:00,2025-12-22 14:10:00,Stop_Loss,-76.83,10613.82,8.8,0.5,8.1,False
Sell,2025-12-23 07:25:00,2025-12-23 10:30:00,BE_Matematico,-2.84,10599.29,8.93,10.0,5.4,True
Sell,2025-12-23 11:10:00,2025-12-24 08:40:00,BE_Matematico,-1.01,10594.11,8.97,20.7,14.9,True
Buy,2025-12-24 09:05:00,2025-12-24 09:30:00,Stop_Loss,-75.93,10510.85,9.69,0.1,9.7,False
Buy,2025-12-31 07:05:00,2025-12-31 10:25:00,Stop_Loss,-75.27,10428.61,10.39,3.3,9.0,False
